fecha,tipo,subtipo,subtipo_normalizado,ciudad,calle,lat,lon
2025-04-30 19:20:50,Tráfico,JAM_HEAVY_TRAFFIC,Atasco,Providencia,Av. Nueva Providencia,-33.422389,-70.609061
2025-04-30 19:20:46,Tráfico,JAM_HEAVY_TRAFFIC,Atasco,Santiago,Av. Libertador Bernardo O'Higgins,-33.447606,-70.66572
2025-04-30 19:20:17,Tráfico,JAM_HEAVY_TRAFFIC,Atasco,Providencia,Av. Costanera Andrés Bello,-33.419255,-70.60982
2025-04-30 19:19:47,Conversación,,Otro,Macul,Av. Escuela Agrícola,-33.490876,-70.611294
2025-04-30 19:23:59,Tráfico,JAM_HEAVY_TRAFFIC,Atasco,La Cisterna,Gran Avenida José Miguel Carrera,-33.537349,-70.664621
2025-04-30 19:10:43,Conversación,,Otro,San Miguel,Gran Avenida José Miguel Carrera,-33.490136,-70.651179
2025-04-22 13:00:00,Peligro,HAZARD_ON_ROAD_LANE_CLOSED,Otro,Santiago,Av. Libertador Bernardo O'Higgins,-33.446526,-70.660719
2024-11-26 19:19:43,Cierre de camino,ROAD_CLOSED_EVENT,Calle Cerrada,Santiago,,-33.436674,-70.634416
2025-04-30 19:20:00,Policía,,Otro,Santiago,Calle Carabineros de Chile,-33.439048,-70.636966
2025-04-22 13:00:00,Peligro,HAZARD_ON_ROAD_LANE_CLOSED,Otro,Santiago,Av. Libertador Bernardo O'Higgins,-33.44494,-70.656352
2025-04-30 19:16:50,Policía,POLICE_HIDING,Otro,Santiago,Moneda,-33.442166,-70.65292
2025-04-30 18:39:50,Tráfico,JAM_HEAVY_TRAFFIC,Atasco,Providencia,Av. Vicuña Mackenna,-33.440638,-70.634173
2025-04-22 13:00:00,Peligro,HAZARD_ON_ROAD_LANE_CLOSED,Otro,Santiago,Av. Libertador Bernardo O'Higgins,-33.445776,-70.660096
2025-04-30 19:25:13,Policía,,Otro,Ñuñoa,Av. José Pedro Alessandri,-33.466929,-70.59848
2025-04-30 19:21:58,Tráfico,JAM_HEAVY_TRAFFIC,Atasco,Las Condes,Felipe II,-33.427171,-70.577068
2025-04-30 19:24:58,Peligro,HAZARD_ON_SHOULDER_CAR_STOPPED,Otro,Ñuñoa,Sucre,-33.4485,-70.604117
2025-04-30 19:21:19,Tráfico,JAM_HEAVY_TRAFFIC,Atasco,La Reina,Av. José Arrieta,-33.459833,-70.569914
2025-04-30 19:20:47,Policía,POLICE_HIDING,Otro,Ñuñoa,Av. Eliecer Parada,-33.43726,-70.585275
2025-04-30 19:25:27,Tráfico,JAM_HEAVY_TRAFFIC,Atasco,Macul,Rodrigo de Araya,-33.470678,-70.578601
